gene_symbol,chromosome,sex-bias,tissue
NEUROG2,4,F,Breast
NIPAL1,4,F,Breast
NKX6-1,4,F,Breast
NSG1,4,F,Breast
PF4V1,4,F,Breast
PROM1,4,F,Breast
RASSF6,4,F,Breast
SLC2A9,4,F,Breast
SLC34A2,4,F,Breast
TMEM156,4,F,Breast
TMPRSS11A,4,F,Breast
UGT8,4,F,Breast
UNC5C,4,F,Breast
ACTBL2,5,F,Breast
CCL28,5,F,Breast
CCNJL,5,F,Breast
CCNO,5,F,Breast
F2RL1,5,F,Breast
FAM196B,5,F,Breast
FAT2,5,F,Breast
FGF1,5,F,Breast
FOXI1,5,F,Breast
GABRP,5,F,Breast
IL17B,5,F,Breast
IL7R,5,F,Breast
IRX1,5,F,Breast
IRX2,5,F,Breast
IRX4,5,F,Breast
KCNMB1,5,F,Breast
PDLIM4,5,F,Breast
PITX1,5,F,Breast
PLEKHG4B,5,F,Breast
PSD2,5,F,Breast
SLC12A2,5,F,Breast
SLC27A6,5,F,Breast
TCF7,5,F,Breast
TENM2,5,F,Breast
TERT,5,F,Breast
ADGRF1,6,F,Breast
ADTRP,6,F,Breast
C4A,6,F,Breast
C4B,6,F,Breast
C6orf15,6,F,Breast
DACT2,6,F,Breast
DLK2,6,F,Breast
DST,6,F,Breast
FABP7,6,F,Breast
FAM83B,6,F,Breast
FAXC,6,F,Breast
FUT9,6,F,Breast
IL22RA2,6,F,Breast
MRAP2,6,F,Breast
RFX6,6,F,Breast
RNF39,6,F,Breast
RUNX2,6,F,Breast
SAMD5,6,F,Breast
SCML4,6,F,Breast
TAGAP,6,F,Breast
THEMIS,6,F,Breast
ATP6V0A4,7,F,Breast
BHLHA15,7,F,Breast
C7orf65,7,F,Breast
CARD11,7,F,Breast
CCDC129,7,F,Breast
CLCN1,7,F,Breast
EPHA1,7,F,Breast
PDE1C,7,F,Breast
PDGFA,7,F,Breast
SVOPL,7,F,Breast
TMEM213,7,F,Breast
WDR86,7,F,Breast
AARD,8,F,Breast
ADAM28,8,F,Breast
BLK,8,F,Breast
CCAR2,8,F,Breast
CHMP4C,8,F,Breast
CRISPLD1,8,F,Breast
DPYS,8,F,Breast
EFCAB1,8,F,Breast
ERICH5,8,F,Breast
FAM167A,8,F,Breast
FBXO32,8,F,Breast
GSDMC,8,F,Breast
HNF4G,8,F,Breast
LY6D,8,F,Breast
NCALD,8,F,Breast
NPM2,8,F,Breast
NUGGC,8,F,Breast
PLAT,8,F,Breast
PNOC,8,F,Breast
SFRP1,8,F,Breast
SLC25A37,8,F,Breast
BARX1,9,F,Breast
CARD9,9,F,Breast
CDKN2A,9,F,Breast
CRB2,9,F,Breast
ENTPD2,9,F,Breast
FAM189A2,9,F,Breast
IFNE,9,F,Breast
LCN2,9,F,Breast
ROR2,9,F,Breast
SARDH,9,F,Breast
SLC28A3,9,F,Breast
WNK2,9,F,Breast
ANTXRL,10,F,Breast
ANXA8,10,F,Breast
ANXA8L1,10,F,Breast
C10orf90,10,F,Breast
CALML3,10,F,Breast
CDHR1,10,F,Breast
COL17A1,10,F,Breast
CYP26A1,10,F,Breast
DMBT1,10,F,Breast
GPRIN2,10,F,Breast
PLEKHS1,10,F,Breast
PRKCQ,10,F,Breast
ACY3,11,F,Breast
ANO1,11,F,Breast
B3GAT1,11,F,Breast
BBOX1,11,F,Breast
CCDC88B,11,F,Breast
CD3D,11,F,Breast
CD3E,11,F,Breast
CD3G,11,F,Breast
CD6,11,F,Breast
CDC42BPG,11,F,Breast
CHRM1,11,F,Breast
COLCA1,11,F,Breast
EHF,11,F,Breast
ELF5,11,F,Breast
EPS8L2,11,F,Breast
FOLH1,11,F,Breast
FOLR1,11,F,Breast
GLB1L3,11,F,Breast
GLYATL2,11,F,Breast
GRIA4,11,F,Breast
GYLTL1B,11,F,Breast
KIAA1549L,11,F,Breast
LRRC4C,11,F,Breast
MMP20,11,F,Breast
MMP7,11,F,Breast
MRGPRX3,11,F,Breast
MS4A1,11,F,Breast
MUC15,11,F,Breast
MUC5B,11,F,Breast
NXPE4,11,F,Breast
OR10A3,11,F,Breast
OR5P3,11,F,Breast
PAMR1,11,F,Breast
PLEKHB1,11,F,Breast
POU2AF1,11,F,Breast
POU2F3,11,F,Breast
PVRL1,11,F,Breast
SAA4,11,F,Breast
ST14,11,F,Breast
ST5,11,F,Breast
SYT12,11,F,Breast
SYT13,11,F,Breast
SYT8,11,F,Breast
TMPRSS13,11,F,Breast
TNNI2,11,F,Breast
TP53AIP1,11,F,Breast
TRIM29,11,F,Breast
USH1C,11,F,Breast
AMIGO2,12,F,Breast
B4GALNT3,12,F,Breast
BCL2L14,12,F,Breast
BHLHE41,12,F,Breast
BTBD11,12,F,Breast
CAPZA3,12,F,Breast
CD27,12,F,Breast
CD69,12,F,Breast
CFAP73,12,F,Breast
HOXC10,12,F,Breast
HOXC13,12,F,Breast
KCNH3,12,F,Breast
KLRC1,12,F,Breast
KLRC2,12,F,Breast
KRT5,12,F,Breast
KRT7,12,F,Breast
KRT74,12,F,Breast
KRT81,12,F,Breast
KRT83,12,F,Breast
PIK3C2G,12,F,Breast
PLCZ1,12,F,Breast
RASAL1,12,F,Breast
SCNN1A,12,F,Breast
SLCO1A2,12,F,Breast
ST8SIA1,12,F,Breast
TRPV4,12,F,Breast
VDR,12,F,Breast
CCNA1,13,F,Breast
